user_id;status_id;created_at;screen_name;text;source;display_text_width;reply_to_status_id;reply_to_user_id;reply_to_screen_name;is_quote;is_retweet;favorite_count;retweet_count;quote_count;reply_count;hashtags;symbols;urls_url;urls_t.co;urls_expanded_url;media_url;media_t.co;media_expanded_url;media_type;ext_media_url;ext_media_t.co;ext_media_expanded_url;ext_media_type;mentions_user_id;mentions_screen_name;lang;quoted_status_id;quoted_text;quoted_created_at;quoted_source;quoted_favorite_count;quoted_retweet_count;quoted_user_id;quoted_screen_name;quoted_name;quoted_followers_count;quoted_friends_count;quoted_statuses_count;quoted_location;quoted_description;quoted_verified;retweet_status_id;retweet_text;retweet_created_at;retweet_source;retweet_favorite_count;retweet_retweet_count;retweet_user_id;retweet_screen_name;retweet_name;retweet_followers_count;retweet_friends_count;retweet_statuses_count;retweet_location;retweet_description;retweet_verified;place_url;place_name;place_full_name;place_type;country;country_code;geo_coords;coords_coords;bbox_coords;status_url;name;location;description;url;protected;followers_count;friends_count;listed_count;statuses_count;favourites_count;account_created_at;verified;profile_url;profile_expanded_url;account_lang;profile_banner_url;profile_background_url;profile_image_url
68950479;1,59753E+18;2022-11-29T17:15:36Z;biaward;@GrabID #percaya Mimpimu Admin Grab semirip NIKI kalo awewe every summertime😌✨;Twitter for iPhone;70;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/biaward/status/1597534736263495680;Nabilla shavira M.;;ur average babble mouth;;FALSE;594;321;0;19157;80;2009-08-26T10:54:28Z;FALSE;;;;https://pbs.twimg.com/profile_banners/68950479/1661709639;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1563949649148256257/T0dQrHVn_normal.jpg
68950479;1,59754E+18;2022-11-29T17:32:55Z;biaward;@GrabID #percaya Mimpimu Admin Grab mirip sama... sebetulnya emak bapaknya sih, dan udah pasti cakep/cantik, tp gabisa dipungkiri Jackson Wang GANTENG BGT &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,15658E+18;1,59728E+18;2022-11-29T00:10:30Z;milkymillyy;udah comment dan RT di akun @GrabID berharap bisa dapetin tiket #HITCJAKARTA dari @GrabID karena jujur aku hampir hopeless mau nonton huhuu dan aku #percaya bisa terwujud nonton niki,joji,dan warrenhue karena grab🙏🏻 bismillah;Twitter for iPhone;225;;;;FALSE;FALSE;0;0;;;HITCJAKARTA percaya;;;;;;;;;;;;;2322081114 2322081114;GrabID GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/milkymillyy/status/1597276760877719552;na;;;;FALSE;377;843;0;5171;101937;2019-07-31T14:45:45Z;FALSE;;;;https://pbs.twimg.com/profile_banners/1156576688807002112/1658937723;;http://pbs.twimg.com/profile_images/1308297090611556358/muKMKEjb_normal.jpg
1,15658E+18;1,59755E+18;2022-11-29T18:20:51Z;milkymillyy;@GrabID #Percaya  Mimpimu karena Admin Grab mirip sama warren hue😎karna cakeupp atau se hot jessi🔥, atau secantik NIKI🤩;Twitter for iPhone;111;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/milkymillyy/status/1597551156154486784;na;;;;FALSE;377;843;0;5171;101937;2019-07-31T14:45:45Z;FALSE;;;;https://pbs.twimg.com/profile_banners/1156576688807002112/1658937723;;http://pbs.twimg.com/profile_images/1308297090611556358/muKMKEjb_normal.jpg
1,15658E+18;1,59755E+18;2022-11-29T18:29:55Z;milkymillyy;@GrabID Ketemu temen rasanya akrab;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cita citanya menjadi komedian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aku #percaya mimpimu pada admin Grab;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Karena kamu keren mirip Rich Brian""";Twitter for iPhone;128;1,59753E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/milkymillyy/status/1597553439999131648;na;;;;FALSE;377;843;0;5171;101937;2019-07-31T14:45:45Z;FALSE;;;;https://pbs.twimg.com/profile_banners/1156576688807002112/1658937723;;http://pbs.twimg.com/profile_images/1308297090611556358/muKMKEjb_normal.jpg;;;;
97570999;1,59754E+18;2022-11-29T17:26:07Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 70. Mimin baik, aku udah nulis 70 kali😭😭😭;Twitter for Android;82;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597537380977999872;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
97570999;1,59754E+18;2022-11-29T17:21:18Z;CaptSteveRasyid;@GrabID #Percaya Mimpimu soalnya Admin Grab Baik 31;Twitter for Android;43;1,59752E+18;2322081114;GrabID;FALSE;FALSE;0;0;;;Percaya;;;;;;;;;;;;;2322081114;GrabID;in;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA NA;NA NA;NA NA NA NA NA NA NA NA;https://twitter.com/CaptSteveRasyid/status/1597536168844722176;Harumichi Namiki;RED OCEAN🎈;itu bukan blunder atau sok kristys, semua twit dalam tendensi bercanda🙏;https://t.co/husjkMYzvh;FALSE;800;567;0;115390;8219;2009-12-18T01:46:34Z;FALSE;https://t.co/husjkMYzvh;http://www.soundcloud.com/skuals;;https://pbs.twimg.com/profile_banners/97570999/1611776096;http://abs.twimg.com/images/themes/theme1/bg.png;http://pbs.twimg.com/profile_images/1457358596153303046/U-BArbrV_normal.jpg
